USE_MM,SBWY_ROUT_LN_NM,STTN,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE,JOB_YMD
202412,1호선,서울역,622.0,26.0,7885.0,7893.0,13071.0,49941.0,42688.0,107177.0,74139.0,220506.0,69720.0,152719.0,68140.0,82051.0,90942.0,82988.0,104381.0,93270.0,102117.0,91692.0,91404.0,83300.0,117339.0,92566.0,133555.0,96419.0,192914.0,103559.0,221917.0,109214.0,120213.0,77861.0,87973.0,57396.0,94528.0,53425.0,62170.0,36925.0,29361.0,17165.0,3296.0,4567.0,30.0,422.0,1.0,34.0,0.0,0.0,20250103
202412,1호선,시청,113.0,3.0,1896.0,4707.0,3394.0,23670.0,6858.0,69069.0,9215.0,185375.0,12002.0,91099.0,15251.0,50159.0,22574.0,49063.0,26945.0,47658.0,36394.0,53962.0,46516.0,49264.0,61426.0,40623.0,78120.0,38257.0,110880.0,39768.0,162831.0,33798.0,72569.0,17686.0,63480.0,11164.0,57510.0,9766.0,36609.0,7153.0,12131.0,4610.0,1727.0,1093.0,82.0,75.0,0.0,1.0,0.0,0.0,20250103
202412,1호선,종각,160.0,10.0,4229.0,5618.0,4107.0,32150.0,6343.0,106431.0,9911.0,246962.0,12663.0,146288.0,18854.0,64893.0,30118.0,63772.0,37121.0,60175.0,46050.0,58382.0,60305.0,52515.0,76501.0,48507.0,96296.0,55531.0,158956.0,65053.0,211969.0,64476.0,105060.0,30414.0,97134.0,15775.0,101656.0,12590.0,77356.0,9567.0,31908.0,4940.0,2540.0,1274.0,197.0,44.0,0.0,0.0,0.0,0.0,20250103
202412,1호선,종로3가,166.0,9.0,3798.0,2858.0,3635.0,11348.0,5410.0,25079.0,8462.0,60717.0,12965.0,60326.0,20043.0,54512.0,30736.0,70574.0,44629.0,73120.0,49778.0,64081.0,62756.0,56359.0,73027.0,49927.0,78733.0,49843.0,89834.0,49448.0,94012.0,45450.0,60725.0,23967.0,54015.0,13235.0,54378.0,10753.0,41759.0,8651.0,18836.0,6701.0,4718.0,2375.0,241.0,117.0,0.0,0.0,0.0,0.0,20250103
202412,1호선,종로5가,46.0,5.0,1776.0,3417.0,2924.0,15615.0,5384.0,38612.0,9488.0,89136.0,13131.0,62712.0,22214.0,55776.0,34432.0,62416.0,43781.0,57907.0,53508.0,55561.0,62190.0,50396.0,67581.0,44271.0,72116.0,41358.0,90097.0,36717.0,89346.0,30905.0,47671.0,17567.0,35933.0,10092.0,31591.0,8016.0,18928.0,6139.0,5868.0,3665.0,473.0,965.0,9.0,29.0,0.0,0.0,0.0,0.0,20250103
202412,1호선,동대문,614.0,22.0,11250.0,1989.0,9357.0,6086.0,15194.0,10088.0,20810.0,18363.0,20994.0,20861.0,18806.0,23647.0,20398.0,29668.0,25017.0,29942.0,26965.0,28654.0,30110.0,27942.0,32092.0,26672.0,32516.0,25640.0,29735.0,24907.0,24990.0,24374.0,18678.0,22174.0,16433.0,15405.0,14521.0,14875.0,11117.0,15227.0,5548.0,10112.0,1083.0,3040.0,59.0,325.0,0.0,0.0,0.0,0.0,20250103
202412,1호선,신설동,460.0,25.0,8611.0,2233.0,9324.0,8137.0,20295.0,23727.0,31233.0,53007.0,21410.0,31575.0,20770.0,22522.0,22816.0,20579.0,24688.0,20265.0,26858.0,21430.0,26496.0,20553.0,27852.0,22830.0,32537.0,24003.0,43394.0,25914.0,51774.0,31686.0,19916.0,22856.0,15141.0,16680.0,12329.0,16630.0,8897.0,14179.0,4023.0,9815.0,482.0,2881.0,4.0,66.0,0.0,0.0,0.0,0.0,20250103
202412,1호선,제기동,422.0,3.0,5053.0,2404.0,8487.0,9230.0,20914.0,19642.0,30502.0,35906.0,22180.0,29511.0,24079.0,35729.0,31364.0,48089.0,38238.0,50785.0,42964.0,51720.0,49270.0,48280.0,53095.0,40356.0,51270.0,34019.0,45490.0,27298.0,36913.0,26704.0,19921.0,17785.0,13750.0,12447.0,9378.0,12012.0,5670.0,10651.0,2369.0,6691.0,224.0,1777.0,20.0,28.0,0.0,0.0,0.0,0.0,20250103
202412,1호선,청량리(서울시립대입구),1090.0,36.0,10179.0,2878.0,16774.0,9044.0,46525.0,16312.0,55291.0,37109.0,35927.0,35333.0,33071.0,39141.0,41319.0,49264.0,46780.0,52594.0,51109.0,52157.0,56044.0,54973.0,60804.0,52447.0,60722.0,50870.0,54989.0,51313.0,45086.0,60443.0,26524.0,38273.0,21757.0,25668.0,17441.0,25434.0,10901.0,21530.0,4512.0,13433.0,366.0,4277.0,6.0,192.0,0.0,0.0,0.0,0.0,20250103
202412,1호선,동묘앞,182.0,2.0,2636.0,981.0,3637.0,4770.0,8419.0,8291.0,13047.0,19329.0,11010.0,16492.0,12602.0,21203.0,17603.0,30680.0,25613.0,34080.0,31281.0,37961.0,38282.0,33303.0,38272.0,27889.0,36944.0,19799.0,31144.0,14462.0,18045.0,11803.0,9318.0,9570.0,5842.0,6880.0,4723.0,7205.0,3189.0,7357.0,1278.0,4839.0,151.0,2149.0,5.0,382.0,0.0,0.0,0.0,0.0,20250103
