USE_MM,SBWY_ROUT_LN_NM,STTN,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE,JOB_YMD
202512,5호선,까치산,297.0,8.0,23599.0,1348.0,44027.0,7806.0,119713.0,11084.0,152192.0,22447.0,81436.0,18740.0,52202.0,18452.0,45730.0,22249.0,45971.0,27543.0,42389.0,31028.0,36830.0,37297.0,35738.0,49461.0,36943.0,61019.0,35676.0,77909.0,33049.0,122596.0,21547.0,92668.0,16436.0,63310.0,13631.0,61236.0,10958.0,51821.0,5356.0,33263.0,975.0,10285.0,35.0,697.0,0.0,2.0,0.0,0.0,20260103
202512,5호선,신정(은행정),143.0,0.0,12121.0,795.0,24162.0,3413.0,61949.0,7888.0,79054.0,13784.0,40403.0,9218.0,23951.0,7953.0,21579.0,9422.0,20764.0,11908.0,19031.0,13318.0,16170.0,15083.0,16351.0,20145.0,17863.0,25532.0,18748.0,33347.0,16975.0,48959.0,9231.0,35544.0,6905.0,25913.0,5507.0,24593.0,4213.0,23950.0,1834.0,13993.0,390.0,4545.0,8.0,170.0,0.0,0.0,0.0,0.0,20260103
202512,5호선,목동,30.0,1.0,8507.0,1506.0,21058.0,5670.0,59103.0,12912.0,72665.0,29248.0,37579.0,20953.0,28946.0,16823.0,27115.0,16381.0,26526.0,19173.0,24387.0,24374.0,24301.0,24657.0,24970.0,29998.0,27839.0,37582.0,29504.0,51944.0,30935.0,81691.0,16793.0,53818.0,14619.0,34177.0,12850.0,32440.0,12067.0,30955.0,4878.0,16619.0,771.0,5692.0,14.0,249.0,0.0,0.0,0.0,0.0,20260103
202512,5호선,오목교(목동운동장앞),16.0,1.0,5098.0,1805.0,16349.0,9010.0,51585.0,24123.0,61284.0,62079.0,32849.0,48730.0,27486.0,33146.0,28656.0,33195.0,31574.0,33514.0,31959.0,38766.0,34114.0,36845.0,39148.0,40453.0,45606.0,49184.0,54488.0,60062.0,63950.0,80445.0,36902.0,49807.0,38789.0,31028.0,30478.0,27765.0,23827.0,25362.0,8546.0,13546.0,1274.0,4255.0,7.0,197.0,0.0,0.0,0.0,0.0,20260103
202512,5호선,양평,6.0,1.0,2591.0,843.0,7256.0,4881.0,25345.0,12398.0,31305.0,47393.0,15430.0,18653.0,10038.0,8147.0,9364.0,7055.0,9743.0,7021.0,10573.0,8078.0,9735.0,8255.0,10930.0,9075.0,13578.0,11237.0,23861.0,15850.0,37550.0,25862.0,12297.0,16952.0,8060.0,12392.0,6430.0,11472.0,4393.0,11227.0,2041.0,6674.0,297.0,2250.0,8.0,95.0,0.0,0.0,0.0,0.0,20260103
202512,5호선,영등포구청,3.0,0.0,1082.0,748.0,3045.0,2341.0,9123.0,8256.0,15595.0,28838.0,6044.0,11703.0,5243.0,5916.0,5776.0,5487.0,6290.0,5528.0,6709.0,5969.0,7132.0,5983.0,7920.0,6337.0,9517.0,7204.0,14480.0,9615.0,25773.0,16016.0,8653.0,8222.0,6332.0,5695.0,6045.0,5360.0,4246.0,5008.0,2312.0,3149.0,311.0,884.0,7.0,51.0,0.0,0.0,0.0,0.0,20260103
202512,5호선,영등포시장,19.0,0.0,2784.0,957.0,7158.0,5742.0,26610.0,15706.0,38787.0,47446.0,18057.0,27991.0,13619.0,19272.0,14250.0,19163.0,17160.0,22830.0,17562.0,25015.0,19155.0,21596.0,24467.0,19147.0,30901.0,20387.0,39494.0,25462.0,48575.0,38900.0,20824.0,22507.0,15420.0,15480.0,13766.0,14864.0,10307.0,13512.0,4590.0,8822.0,661.0,2323.0,6.0,206.0,0.0,0.0,0.0,0.0,20260103
202512,5호선,신길,43.0,2.0,1892.0,391.0,4511.0,1910.0,18041.0,5218.0,26669.0,15002.0,11914.0,7076.0,8525.0,3502.0,6562.0,4039.0,6837.0,4512.0,6270.0,5241.0,5568.0,5537.0,5812.0,6674.0,7019.0,8693.0,9969.0,13031.0,14799.0,22175.0,5600.0,13764.0,4348.0,11721.0,3689.0,11859.0,3156.0,11167.0,1954.0,7194.0,282.0,2384.0,10.0,275.0,0.0,0.0,0.0,0.0,20260103
202512,5호선,여의도,16.0,0.0,2885.0,3172.0,4139.0,29763.0,10045.0,157858.0,15023.0,227360.0,13164.0,89977.0,15356.0,42170.0,24093.0,41956.0,25736.0,38865.0,32165.0,42459.0,39674.0,35023.0,51112.0,33961.0,69513.0,35290.0,162435.0,41675.0,180085.0,47196.0,75887.0,21163.0,69219.0,12192.0,56090.0,10520.0,33852.0,9046.0,11997.0,5236.0,1680.0,2971.0,24.0,211.0,0.0,0.0,0.0,0.0,20260103
202512,6호선,창신,8.0,0.0,2523.0,293.0,5197.0,2100.0,15292.0,5815.0,17786.0,6027.0,9755.0,4239.0,6385.0,3231.0,5381.0,3030.0,5358.0,3392.0,5786.0,3871.0,4532.0,3910.0,5086.0,4630.0,7080.0,5556.0,5858.0,7513.0,4798.0,10240.0,3153.0,7907.0,2626.0,5329.0,1965.0,5381.0,1319.0,5338.0,610.0,3521.0,138.0,1151.0,3.0,22.0,0.0,0.0,0.0,0.0,20260103
