USE_MM,SBWY_ROUT_LN_NM,STTN,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE,JOB_YMD
202510,1호선,서울역,699.0,76.0,10360.0,10015.0,28910.0,60809.0,90766.0,118534.0,153821.0,232627.0,115372.0,170125.0,107977.0,104737.0,113800.0,100305.0,129224.0,110715.0,120491.0,109339.0,110397.0,103037.0,128308.0,119294.0,150430.0,130127.0,222851.0,153973.0,237883.0,175963.0,141287.0,120747.0,101598.0,86208.0,102379.0,79461.0,69133.0,57848.0,36584.0,29929.0,4976.0,8215.0,12.0,167.0,0.0,0.0,0.0,0.0,20251103
202510,1호선,시청,161.0,5.0,1830.0,5534.0,3857.0,29099.0,7542.0,70124.0,10117.0,190655.0,13669.0,90122.0,17267.0,52821.0,23063.0,52117.0,27342.0,48215.0,34188.0,47629.0,44604.0,39144.0,60843.0,32239.0,74595.0,29383.0,100992.0,29254.0,150990.0,25537.0,63129.0,13701.0,56796.0,9665.0,46938.0,8173.0,30175.0,5622.0,9874.0,3284.0,643.0,862.0,0.0,19.0,0.0,0.0,0.0,0.0,20251103
202510,1호선,종각,122.0,6.0,3750.0,5424.0,4300.0,33183.0,6745.0,102656.0,10477.0,243153.0,13634.0,132638.0,18862.0,60669.0,28236.0,60857.0,34225.0,55713.0,42402.0,54566.0,56027.0,45931.0,72640.0,41090.0,91141.0,43175.0,153239.0,47836.0,203053.0,47950.0,91632.0,25051.0,81603.0,13494.0,78677.0,9974.0,55402.0,6882.0,23725.0,4517.0,1884.0,1385.0,1.0,1.0,0.0,0.0,0.0,0.0,20251103
202510,1호선,종로3가,187.0,12.0,4332.0,3801.0,4383.0,12855.0,7013.0,24792.0,10579.0,57816.0,15502.0,57659.0,23163.0,55096.0,32712.0,66302.0,44686.0,66986.0,48738.0,62141.0,60280.0,56873.0,70928.0,49103.0,78311.0,45566.0,86971.0,42353.0,87300.0,38465.0,54638.0,21095.0,46789.0,12745.0,45518.0,10123.0,36410.0,8507.0,16699.0,5277.0,1512.0,2037.0,1.0,15.0,0.0,0.0,0.0,0.0,20251103
202510,1호선,종로5가,50.0,1.0,1926.0,4205.0,3137.0,16085.0,6172.0,37728.0,10597.0,81001.0,15835.0,60785.0,25888.0,56831.0,36638.0,60865.0,44032.0,56889.0,51747.0,54084.0,61895.0,51857.0,66790.0,44326.0,70986.0,41155.0,86874.0,35926.0,86396.0,31557.0,46981.0,18453.0,32725.0,10776.0,26762.0,8076.0,16687.0,6238.0,5052.0,3888.0,400.0,1002.0,1.0,2.0,0.0,0.0,0.0,0.0,20251103
202510,1호선,동대문,707.0,32.0,10682.0,1943.0,9093.0,6563.0,14913.0,10724.0,22028.0,17963.0,21747.0,22059.0,19822.0,25396.0,21743.0,29451.0,24825.0,29193.0,27605.0,29847.0,29712.0,28760.0,31386.0,27159.0,32273.0,26439.0,30643.0,26581.0,27301.0,25840.0,20286.0,23099.0,17081.0,17039.0,14930.0,16016.0,12268.0,15262.0,6381.0,10166.0,894.0,2991.0,4.0,255.0,0.0,0.0,0.0,0.0,20251103
202510,1호선,신설동,443.0,8.0,8007.0,2116.0,9597.0,8295.0,20710.0,22177.0,30800.0,48188.0,21985.0,29819.0,20410.0,20663.0,21701.0,18731.0,23264.0,18496.0,24874.0,20292.0,23894.0,19049.0,25411.0,21118.0,29550.0,22793.0,39277.0,25439.0,47177.0,30484.0,19086.0,22434.0,13950.0,16185.0,11874.0,15936.0,8161.0,13952.0,3535.0,9296.0,389.0,2735.0,0.0,2.0,0.0,0.0,0.0,0.0,20251103
202510,1호선,제기동,335.0,4.0,4666.0,2336.0,8729.0,8977.0,20194.0,18987.0,29220.0,35158.0,22542.0,30916.0,25168.0,37432.0,32434.0,44967.0,37975.0,45786.0,40041.0,47938.0,43800.0,45351.0,46840.0,37811.0,46189.0,34300.0,42514.0,26824.0,34955.0,25330.0,19378.0,16553.0,12584.0,11433.0,8412.0,10859.0,5260.0,9349.0,2163.0,5771.0,143.0,1576.0,0.0,0.0,0.0,0.0,0.0,0.0,20251103
202510,1호선,청량리(서울시립대입구),1223.0,56.0,10504.0,2922.0,17451.0,10825.0,45932.0,17280.0,54820.0,38096.0,36645.0,40120.0,35324.0,42311.0,41372.0,50934.0,47223.0,51796.0,49083.0,54140.0,53595.0,52902.0,57673.0,50143.0,59224.0,51455.0,55503.0,51102.0,46118.0,57690.0,26323.0,37189.0,20969.0,23734.0,16659.0,22199.0,10006.0,19243.0,4400.0,11789.0,310.0,4084.0,0.0,1.0,0.0,0.0,0.0,0.0,20251103
202510,1호선,동묘앞,189.0,4.0,2749.0,821.0,3676.0,5334.0,8282.0,9553.0,13578.0,20848.0,12101.0,17093.0,13901.0,24633.0,19201.0,32884.0,25422.0,36012.0,32091.0,39989.0,36206.0,34893.0,38385.0,29619.0,38025.0,21892.0,34010.0,15214.0,21299.0,13097.0,10070.0,9288.0,5983.0,6773.0,4712.0,6895.0,3300.0,6961.0,1332.0,4603.0,101.0,1949.0,0.0,274.0,0.0,0.0,0.0,0.0,20251103
