USE_MM,SBWY_ROUT_LN_NM,STTN,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE,JOB_YMD
202602,경의선,임진강,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,318.0,28.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,91.0,80.0,27.0,412.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260303
202602,경의선,운천,0.0,0.0,0.0,0.0,2.0,2.0,8.0,8.0,4.0,4.0,57.0,26.0,23.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,13.0,12.0,0.0,21.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260303
202602,1호선,서울역,546.0,42.0,8614.0,8795.0,27282.0,49533.0,83751.0,105109.0,144257.0,209297.0,106868.0,147019.0,96133.0,90130.0,102556.0,90808.0,119911.0,103985.0,113474.0,100223.0,98962.0,93135.0,122284.0,107727.0,136694.0,115870.0,192265.0,138956.0,218863.0,163809.0,127600.0,115900.0,94394.0,82925.0,96160.0,74860.0,61603.0,53655.0,30895.0,28114.0,3893.0,6535.0,22.0,170.0,0.0,0.0,0.0,0.0,20260303
202602,1호선,시청,99.0,3.0,1328.0,4391.0,3042.0,23116.0,6204.0,62422.0,8603.0,175469.0,10941.0,76964.0,13735.0,42392.0,18672.0,43123.0,22074.0,41584.0,27150.0,40248.0,39138.0,31857.0,49302.0,26276.0,59231.0,24448.0,85320.0,24938.0,139204.0,21482.0,56534.0,11925.0,49009.0,8521.0,41922.0,7472.0,25732.0,5087.0,8459.0,2861.0,489.0,810.0,3.0,13.0,0.0,0.0,0.0,0.0,20260303
202602,1호선,종각,85.0,0.0,3271.0,5127.0,3794.0,30009.0,5573.0,97509.0,8615.0,228609.0,11530.0,122859.0,16986.0,57134.0,27016.0,57888.0,32542.0,53798.0,40279.0,52676.0,53086.0,43454.0,67432.0,37588.0,82245.0,40290.0,138156.0,42953.0,188576.0,42647.0,88177.0,23305.0,79593.0,12374.0,77222.0,9783.0,53569.0,6800.0,22632.0,3936.0,1647.0,1137.0,0.0,2.0,0.0,0.0,0.0,0.0,20260303
202602,1호선,종로3가,104.0,9.0,2907.0,3155.0,3544.0,11581.0,5873.0,21998.0,8110.0,50651.0,12416.0,51532.0,18754.0,47550.0,29091.0,58421.0,40006.0,59555.0,42903.0,54839.0,52235.0,49133.0,61291.0,41530.0,67208.0,40476.0,76713.0,35424.0,78457.0,32491.0,47791.0,18104.0,39627.0,10860.0,39626.0,8648.0,30116.0,6765.0,13999.0,4428.0,1224.0,1729.0,0.0,35.0,0.0,0.0,0.0,0.0,20260303
202602,1호선,종로5가,44.0,0.0,1427.0,3632.0,2491.0,14565.0,4854.0,34469.0,8862.0,75820.0,12736.0,54640.0,21853.0,48799.0,31066.0,52528.0,38595.0,50707.0,45608.0,46420.0,53771.0,45591.0,57448.0,37617.0,64202.0,35953.0,76976.0,30319.0,79190.0,26243.0,42943.0,15641.0,29507.0,9181.0,24156.0,6892.0,14783.0,5723.0,4656.0,3433.0,340.0,794.0,0.0,2.0,0.0,0.0,0.0,0.0,20260303
202602,1호선,동대문,551.0,14.0,8239.0,1549.0,7026.0,4980.0,11068.0,8779.0,17949.0,15082.0,18102.0,17823.0,17258.0,20820.0,18411.0,25650.0,21597.0,26473.0,24901.0,26553.0,27589.0,26003.0,28617.0,25352.0,29927.0,23405.0,28202.0,22371.0,25044.0,20458.0,18131.0,18781.0,14972.0,13896.0,13230.0,13354.0,10167.0,13949.0,5293.0,9385.0,849.0,2542.0,4.0,228.0,0.0,0.0,0.0,0.0,20260303
202602,1호선,신설동,356.0,3.0,6593.0,1719.0,8187.0,6967.0,17761.0,19206.0,27418.0,42302.0,18620.0,27097.0,17026.0,17829.0,18986.0,17314.0,20834.0,17612.0,22498.0,19138.0,22275.0,17953.0,23622.0,19258.0,26548.0,19932.0,34970.0,22451.0,43824.0,27128.0,18235.0,20603.0,12369.0,14693.0,10860.0,13954.0,7596.0,11866.0,3259.0,7449.0,357.0,2097.0,0.0,0.0,0.0,0.0,0.0,0.0,20260303
202602,1호선,제기동,269.0,3.0,4135.0,2266.0,7045.0,7831.0,16927.0,16151.0,25692.0,30800.0,19679.0,26628.0,21668.0,33224.0,28973.0,43034.0,34967.0,44254.0,39297.0,46464.0,43134.0,43850.0,44868.0,36372.0,42714.0,30911.0,39000.0,24699.0,31855.0,23161.0,17656.0,15780.0,11666.0,10662.0,7135.0,9898.0,4654.0,8190.0,1933.0,4994.0,148.0,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,20260303
