USE_MM,SBWY_ROUT_LN_NM,STTN,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE,JOB_YMD
202507,1호선,서울역,640.0,46.0,10893.0,9988.0,31160.0,59484.0,98747.0,133704.0,158146.0,266527.0,114052.0,176518.0,96335.0,101614.0,108797.0,97402.0,124002.0,106463.0,117602.0,103688.0,102710.0,95523.0,131355.0,108866.0,148536.0,118338.0,233272.0,146449.0,265009.0,176480.0,139116.0,114887.0,100956.0,81654.0,108886.0,77427.0,76461.0,58443.0,41204.0,29414.0,4306.0,7715.0,17.0,176.0,0.0,0.0,0.0,0.0,20250803
202507,1호선,시청,58.0,0.0,1922.0,6003.0,3840.0,29242.0,7235.0,85813.0,10112.0,228240.0,12442.0,93417.0,15422.0,42495.0,21429.0,38971.0,23730.0,34441.0,29907.0,34075.0,35290.0,27610.0,45335.0,24192.0,58857.0,23604.0,101660.0,25652.0,175882.0,24747.0,62854.0,13016.0,56026.0,9124.0,48640.0,8323.0,30941.0,6086.0,10053.0,4112.0,548.0,1017.0,0.0,18.0,0.0,0.0,0.0,0.0,20250803
202507,1호선,종각,91.0,6.0,3877.0,7002.0,4222.0,42993.0,7023.0,131921.0,10219.0,299727.0,13335.0,151761.0,19552.0,61304.0,29884.0,57185.0,36754.0,50489.0,45077.0,50404.0,55757.0,40487.0,69119.0,37379.0,87264.0,40099.0,171955.0,48039.0,236293.0,50356.0,97632.0,25691.0,87318.0,13395.0,86904.0,10155.0,62230.0,7481.0,25694.0,4750.0,1936.0,1318.0,0.0,5.0,0.0,0.0,0.0,0.0,20250803
202507,1호선,종로3가,150.0,12.0,4007.0,3684.0,4389.0,15068.0,6771.0,29938.0,10419.0,72397.0,14970.0,67886.0,22198.0,55825.0,33642.0,61797.0,44345.0,58790.0,45015.0,53611.0,51360.0,45555.0,58505.0,39350.0,67836.0,38056.0,85373.0,37072.0,91662.0,37356.0,52682.0,19163.0,45226.0,11624.0,47953.0,9540.0,35652.0,8035.0,15378.0,5546.0,1506.0,2106.0,1.0,27.0,0.0,0.0,0.0,0.0,20250803
202507,1호선,종로5가,47.0,0.0,2013.0,3973.0,3328.0,18997.0,6518.0,46204.0,11364.0,97370.0,16378.0,66709.0,27500.0,58588.0,37927.0,57409.0,44822.0,50710.0,49993.0,47204.0,57240.0,43761.0,59008.0,38123.0,65794.0,36580.0,89424.0,34827.0,93309.0,32182.0,46562.0,18819.0,33105.0,10781.0,29555.0,7991.0,19448.0,6598.0,5699.0,3875.0,389.0,1124.0,0.0,1.0,0.0,0.0,0.0,0.0,20250803
202507,1호선,동대문,512.0,20.0,11992.0,2119.0,9530.0,7225.0,15640.0,12598.0,22661.0,20045.0,21754.0,21637.0,18919.0,22764.0,20782.0,25635.0,23449.0,23754.0,24421.0,23727.0,25314.0,21934.0,25679.0,22004.0,27103.0,21702.0,26384.0,22400.0,24604.0,22494.0,17395.0,21729.0,15882.0,16015.0,14349.0,15259.0,11009.0,15551.0,5716.0,10288.0,824.0,3072.0,6.0,278.0,0.0,0.0,0.0,0.0,20250803
202507,1호선,신설동,365.0,19.0,9409.0,2298.0,10692.0,9520.0,23776.0,27177.0,34153.0,56887.0,22411.0,34877.0,20516.0,20926.0,21791.0,18015.0,23702.0,17717.0,24123.0,19336.0,22069.0,18059.0,24060.0,20164.0,30040.0,22589.0,43893.0,25888.0,55290.0,32556.0,20609.0,23783.0,14723.0,16664.0,12702.0,16396.0,8560.0,15215.0,3609.0,9468.0,396.0,2737.0,0.0,0.0,0.0,0.0,0.0,0.0,20250803
202507,1호선,제기동,361.0,3.0,5516.0,2561.0,9720.0,10850.0,23430.0,23249.0,34178.0,41157.0,24806.0,33601.0,26105.0,34660.0,30050.0,39709.0,33010.0,40590.0,33642.0,40585.0,36285.0,35525.0,40087.0,31344.0,42431.0,31994.0,43867.0,28490.0,39410.0,28848.0,21019.0,18945.0,14540.0,12099.0,8703.0,11976.0,5691.0,9509.0,2174.0,6269.0,173.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,20250803
202507,1호선,청량리(서울시립대입구),1209.0,30.0,11196.0,3164.0,20041.0,11576.0,53740.0,18914.0,62309.0,41668.0,37868.0,38414.0,35427.0,40250.0,39031.0,45250.0,43934.0,44351.0,44848.0,44627.0,44794.0,44834.0,47337.0,45772.0,50513.0,47844.0,51940.0,51926.0,47169.0,64861.0,27013.0,40400.0,20716.0,24535.0,16139.0,23195.0,9750.0,20259.0,4168.0,12330.0,343.0,3906.0,0.0,0.0,0.0,0.0,0.0,0.0,20250803
202507,1호선,동묘앞,221.0,8.0,2820.0,959.0,4118.0,5772.0,9523.0,11249.0,15007.0,22560.0,12603.0,18802.0,14564.0,21507.0,19807.0,25654.0,25510.0,27121.0,28004.0,29219.0,27431.0,24538.0,28206.0,21666.0,29107.0,18680.0,27032.0,15551.0,21511.0,14481.0,11706.0,9985.0,6702.0,6698.0,5440.0,7016.0,3607.0,7086.0,1288.0,4710.0,130.0,2116.0,1.0,280.0,0.0,1.0,0.0,0.0,20250803
