USE_MM,SBWY_ROUT_LN_NM,STTN,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE,JOB_YMD
202511,1호선,서울역,721.0,46.0,11187.0,10716.0,31425.0,63275.0,99842.0,126583.0,170325.0,249092.0,133038.0,183768.0,112559.0,111473.0,122795.0,105401.0,136002.0,116302.0,127971.0,116200.0,112437.0,108325.0,138750.0,125794.0,161412.0,137195.0,239307.0,165562.0,260064.0,194288.0,150249.0,130299.0,110729.0,94357.0,111995.0,89598.0,73168.0,64295.0,36726.0,31825.0,3970.0,7466.0,14.0,157.0,1.0,0.0,0.0,0.0,20251203
202511,1호선,시청,128.0,3.0,1969.0,5708.0,3982.0,30013.0,7600.0,78232.0,11176.0,208161.0,15155.0,104289.0,19065.0,63453.0,23950.0,57712.0,27609.0,50686.0,37468.0,50026.0,48163.0,41878.0,64890.0,37012.0,79390.0,33714.0,114167.0,33743.0,168091.0,28989.0,68903.0,14485.0,62577.0,9638.0,53620.0,8888.0,33429.0,6020.0,10753.0,3715.0,658.0,909.0,1.0,8.0,0.0,0.0,0.0,0.0,20251203
202511,1호선,종각,114.0,1.0,3842.0,6080.0,4347.0,36666.0,7038.0,114992.0,11249.0,266497.0,15163.0,150043.0,19893.0,66775.0,29959.0,65794.0,36385.0,59695.0,45917.0,58073.0,59405.0,46861.0,76098.0,42780.0,96613.0,46272.0,167181.0,53932.0,222056.0,54522.0,101590.0,26043.0,90253.0,14056.0,89926.0,10798.0,63258.0,7360.0,27048.0,4542.0,2022.0,1264.0,1.0,0.0,0.0,0.0,0.0,0.0,20251203
202511,1호선,종로3가,193.0,23.0,4124.0,4068.0,4504.0,13288.0,7553.0,26671.0,11582.0,62381.0,16822.0,64221.0,23164.0,56993.0,32696.0,67937.0,45127.0,66942.0,49278.0,61850.0,62304.0,55744.0,71683.0,49528.0,81406.0,47608.0,93921.0,45380.0,92277.0,42677.0,56222.0,22027.0,48625.0,13314.0,49033.0,10746.0,38636.0,8527.0,17301.0,5502.0,1589.0,2024.0,1.0,20.0,0.0,0.0,0.0,0.0,20251203
202511,1호선,종로5가,39.0,0.0,1929.0,4418.0,3221.0,16916.0,6319.0,40584.0,11399.0,88413.0,16480.0,66575.0,26145.0,59022.0,36908.0,62353.0,43987.0,57763.0,51858.0,55417.0,62155.0,52415.0,66611.0,44335.0,75097.0,41966.0,92417.0,39029.0,90880.0,33581.0,47948.0,19878.0,35861.0,10977.0,29244.0,8390.0,20475.0,6553.0,5652.0,4244.0,360.0,1004.0,1.0,3.0,0.0,0.0,0.0,0.0,20251203
202511,1호선,동대문,672.0,17.0,10641.0,1958.0,9378.0,6549.0,15750.0,11068.0,23360.0,19089.0,23118.0,23495.0,20784.0,25719.0,21000.0,28985.0,23985.0,28394.0,26978.0,27820.0,29522.0,27185.0,31392.0,25987.0,32841.0,24824.0,30752.0,25677.0,26155.0,25202.0,19301.0,23153.0,16755.0,16721.0,15435.0,15918.0,11677.0,15128.0,5786.0,10033.0,992.0,3020.0,5.0,325.0,0.0,0.0,0.0,0.0,20251203
202511,1호선,신설동,423.0,7.0,8356.0,2479.0,10049.0,8775.0,22452.0,23936.0,33894.0,52612.0,24057.0,33175.0,21989.0,22178.0,22758.0,20220.0,24176.0,19727.0,25694.0,21731.0,24967.0,19790.0,27002.0,22369.0,32278.0,24140.0,43581.0,27554.0,51781.0,32707.0,20057.0,23661.0,14033.0,16967.0,12127.0,16572.0,8666.0,14732.0,3551.0,9117.0,439.0,2676.0,2.0,2.0,0.0,0.0,0.0,0.0,20251203
202511,1호선,제기동,372.0,14.0,5126.0,2454.0,9059.0,9325.0,21182.0,19953.0,32137.0,36918.0,24063.0,32837.0,25537.0,37296.0,33028.0,46129.0,39584.0,46307.0,41646.0,50161.0,46835.0,45830.0,48268.0,39615.0,46939.0,35440.0,43713.0,27734.0,35150.0,26483.0,19449.0,17704.0,13013.0,11986.0,8664.0,11873.0,5487.0,10187.0,2138.0,5912.0,142.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0,20251203
202511,1호선,청량리(서울시립대입구),1166.0,55.0,11183.0,3066.0,18115.0,11426.0,48856.0,17581.0,60269.0,39663.0,39508.0,41140.0,35989.0,43204.0,41887.0,52043.0,48232.0,53557.0,51767.0,56307.0,55728.0,54017.0,60308.0,54353.0,62483.0,53988.0,57526.0,55424.0,46038.0,62418.0,26836.0,39195.0,21700.0,25296.0,17485.0,24220.0,11214.0,20913.0,4484.0,12277.0,419.0,4265.0,0.0,0.0,0.0,0.0,0.0,0.0,20251203
202511,1호선,동묘앞,177.0,2.0,3179.0,981.0,3841.0,5616.0,8804.0,10115.0,14941.0,22749.0,12903.0,20136.0,14217.0,25974.0,19849.0,35153.0,27636.0,37920.0,34063.0,41859.0,39016.0,35413.0,42767.0,29427.0,42801.0,21780.0,34441.0,15148.0,19701.0,12906.0,9992.0,9486.0,5837.0,7046.0,4736.0,7005.0,3179.0,7107.0,1260.0,4746.0,121.0,2380.0,0.0,248.0,0.0,0.0,0.0,0.0,20251203
